word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
spoil,লুণ্ঠন,(Also in plural: spoils) Plunder taken from an enemy or victim.,,noun,/spɔɪl/,
spoken,কথ্য,"To communicate with one's voice, to say words out loud.",I was so surprised I couldn't speak.,verb,/ˈspoʊkən/,
spoon,চামচ,"An implement for eating or serving; a scooped utensil whose long handle is straight, in contrast to a ladle.",,noun,/spuːn/,
sport,খেলাধুলা,Any activity that uses physical exertion or skills competitively under a set of rules that is not based on aesthetics.,,noun,/spɔːt/,
spot,স্পট,"A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape.",The leopard is noted for the spots of color in its fur.,noun,/spɒt/,
spray,স্প্রে,"A fine, gentle, dispersed mist of liquid.",The sailor could feel the spray from the waves.,noun,/spɹeɪ/,
spread,ছড়িয়ে পড়া,The act of spreading.,,noun,/spɹɛd/,
spring,বসন্ত,"To weaken, as a joint, ligament, or muscle, by sudden and excessive exertion, as by wrenching; to overstrain, or stretch injuriously, but without luxation",to sprain one's ankle,verb,/spɹɪŋ/,
square,বর্গক্ষেত্র,A polygon with four sides of equal length and four right angles; an equilateral rectangle; a regular quadrilateral.,,noun,,
squeeze,চাপা,A close or tight fit.,,noun,/skwiːz/,
stable,স্থিতিশীল,"A building, wing or dependency set apart and adapted for lodging and feeding (and training) animals with hoofs, especially horses.",There were stalls for fourteen horses in the squire's stables.,noun,/ˈsteɪ.bəɫ/,
staff,কর্মী,"(plural staffs or staves) A long, straight, thick wooden rod or stick, especially one used to assist in walking.",,noun,/ˈstæf/,
stage,মঞ্চ,A phase.,Completion of an identifiable stage of maintenance such as removing an aircraft engine for repair or storage.,noun,/steɪd͡ʒ/,
stair,সিঁড়ি,A single step in a staircase.,,noun,/stɛə/,
stamp,স্ট্যাম্প,"An act of stamping the foot, paw or hoof.",The horse gave two quick stamps and rose up on its hind legs.,noun,/stæmp/,
stand,দাঁড়ানো,The act of standing.,,noun,/stænd/,
stand up,দাঁড়ানো,To rise from a lying or sitting position.,"Stand up, then sit down again.",verb,,
standard,মান,A principle or example or measure used for comparison.,,noun,/ˈstændəd/,
star,তারকা,"Any small luminous dot appearing in the cloudless portion of the night sky, especially with a fixed location relative to other such dots.",,noun,/stɑː(ɹ)/,
stare,তাকান,A persistent gaze.,the stares of astonished passers-by,noun,/stɛə(ɹ)/,
start,শুরু,The beginning of an activity.,The movie was entertaining from start to finish.,noun,/stɑːt/,
start up,শুরু,To rise suddenly.,He started up when he heard the scream.,verb,,
state,রাষ্ট্র,A condition; a set of circumstances applying at any given time.,,noun,/steɪt/,
statement,বিবৃতি,A declaration or remark.,,noun,/ˈsteɪtm(ə)nt/,
station,স্টেশন,A stopping place.,,noun,/ˈsteɪʃən/,
statue,মূর্তি,"A three-dimensional work of art, usually representing a person or animal, usually created by sculpting, carving, molding, or casting.",,noun,/ˈstæt.juː/,
status,অবস্থা,"A person’s condition, position or standing relative to that of others.",Superstition is highly correlated with economic status.,noun,/ˈstæt.əs/,
stay,থাকা,Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.,I hope you enjoyed your stay in Hawaii.,noun,/steɪ/,
steady,স্থির,"A rest or support, as for the hand, a tool, or a piece of work.",,noun,/ˈstɛdi/,
steal,চুরি,The act of stealing.,,noun,/stiːl/,
steam,বাষ্প,The vapor formed when water changes from liquid phase to gas phase.,,noun,/stiːm/,
steel,ইস্পাত,"An artificial metal produced from iron, harder and more elastic than elemental iron; used figuratively as a symbol of hardness.",,noun,/stiːl/,
steep,খাড়া,The steep side of a mountain etc.; a slope or acclivity.,,noun,/stiːp/,
steer,বাহা,A suggestion about a course of action.,,noun,/stɪə(ɹ)/,
step,পদক্ষেপ,An advance or movement made from one foot to the other; a pace.,,noun,/stɛp/,
stick,লাঠি,"An elongated piece of wood or similar material, typically put to some use, for example as a wand or baton.",,noun,/stɪk/,
stick out,লেগে থাকা,To protrude; to extend beyond.,He stuck out his tongue at me.,verb,,
stick together,একসাথে লেগে থাকা,(of two or objects) To physically combine by adhesion.,,verb,,
sticky,আঠালো,"A sticky note, such as a post-it note.",Her desk is covered with yellow stickies.,noun,/ˈstɪki/,
stiff,কড়া,"An average person, usually male, of no particular distinction, skill, or education, often a working stiff or lucky stiff.","A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit, Nine That Fired Me, and Three I Can't Remember was published in 2003.",noun,/stɪf/,
still,এখনও,A period of calm or silence.,the still of the night,noun,/stɪl/,
sting,স্টিং,A bump left on the skin after having been stung.,,noun,/stɪŋ/,
stir,নাড়া,The act or result of stirring (moving around the particles of a liquid etc.),Can you give the soup a little stir?,noun,/stɜː/,
stock,স্টক,A store or supply.,,noun,/stɒk/,
stomach,পেট,An organ in animals that stores food in the process of digestion.,,noun,/ˈstʌmək/,
stone,পাথর,A hard earthen substance that can form large rocks.,,noun,/stɐʉn/,
stop,থামা,"A (usually marked) place where buses, trams or trains halt to let passengers get on and off, usually smaller than a station.",They agreed to meet at the bus stop.,noun,/stɒp/,
store,দোকান,A place where items may be accumulated or routinely kept.,This building used to be a store for old tires.,noun,/stɔː/,
storm,ঝড়,"Any disturbed state of the atmosphere, especially as affecting the earth's surface, and strongly implying destructive or unpleasant weather.",,noun,/stɔːm/,
story,গল্প,"A sequence of real or fictional events; or, an account of such a sequence.",The book tells the story of two roommates.,noun,/ˈstɔː.ɹi/,
stove,চুলা,"A heater, a closed apparatus to burn fuel for the warming of a room.",,noun,/stəʊv/,
straight,সোজা,Something that is not crooked or bent such as a part of a road or track.,,noun,/stɹeɪt/,
strain,স্ট্রেন,Treasure.,,noun,/stɹeɪ̯n/,
strange,অদ্ভুত,Vagina,,noun,/ˈstɹeɪnd͡ʒ/,
strangely,অদ্ভুতভাবে,In a strange or coincidental manner.,,adverb,/ˈstɹeɪndʒli/,
stranger,অপরিচিত,"Not normal; odd, unusual, surprising, out of the ordinary.",He thought it strange that his girlfriend wore shorts in the winter.,adjective,/ˈstɹeɪndʒə/,
strategy,কৌশল,The science and art of military command as applied to the overall planning and conduct of warfare.,,noun,/ˈstɹætədʒi/,
stream,প্রবাহ,A small river; a large creek; a body of moving water confined by banks.,,noun,/stɹiːm/,
street,রাস্তা,"A paved part of road, usually in a village or a town.",Walk down the street until you see a hotel on the right.,noun,/stɹiːt/,
strength,শক্তি,The quality or degree of being strong.,It requires great strength to lift heavy objects.,noun,/stɹɛŋkθ/,
stress,চাপ,(Cause of) discomfort.,,noun,/stɹɛs/,
stressed,জোর,To apply force to (a body or structure) causing strain.,,verb,/stɹɛst/,
stretch,প্রসারিত,An act of stretching.,I was right in the middle of a stretch when the phone rang.,noun,/stɹɛtʃ/,
strict,কঠোর,Strained; drawn close; tight.,strict embrace,adjective,/stɹɪkt/,
strictly,কঠোরভাবে,In a strict manner.,He adhered strictly to the diet his doctor prescribed.,adverb,/ˈstɹɪktli/,
strike,ধর্মঘট,"A status resulting from a batter swinging and missing a pitch, or not swinging at a pitch when the ball goes in the strike zone, or hitting a foul ball that is not caught.",,noun,/stɹaɪk/,
striking,স্ট্রাইকিং,(sometimes with out or through) To delete or cross out; to scratch or eliminate.,Please strike the last sentence.,verb,/ˈstɹaɪkɪŋ/,
string,স্ট্রিং,"A building, wing or dependency set apart and adapted for lodging and feeding (and training) animals with hoofs, especially horses.",There were stalls for fourteen horses in the squire's stables.,noun,/stɹɪŋ/,
strip,ফালা,"A long, thin piece of land; any long, thin area.",The countries were in dispute over the ownership of a strip of desert about 100 metres wide.,noun,/stɹɪp/,
stripe,ডোরাকাটা,"A long, relatively straight region of a single colour.",zebra stripes,noun,/st(ʃ)ɹʌɪp/,
striped,ডোরাকাটা,To mark with stripes.,,verb,/stɹaɪpt/,
stroke,স্ট্রোক,An act of stroking (moving one's hand over a surface).,She gave the cat a stroke.,noun,,
strong,শক্তিশালী,Capable of producing great physical force.,a big strong man; Jake was tall and strong,adjective,/stɹɑŋ/,
structure,গঠন,A cohesive whole built up of distinct parts.,The birds had built an amazing structure out of sticks and various discarded items.,noun,/ˈstɹʌktʃə(ɹ)/,
struggle,সংগ্রাম,A contortion of the body in an attempt to escape or to perform a difficult task.,,noun,/ˈstrʌɡəl/,
student,ছাত্র,A person who studies or learns about a particular subject.,He is a student of life.,noun,/ˈstjuː.dənt/,
studio,স্টুডিও,An artist’s or photographer’s workshop or the room in which an artist works.,His studio was cramped when he began as an artist.,noun,/ˈstjuːdiəʊ/,
study,অধ্যয়ন,"(usually academic) To review materials already learned in order to make sure one does not forget them, usually in preparation for an examination.",I need to study my biology notes.,verb,/ˈstʌdi/,
stuff,জিনিসপত্র,Miscellaneous items or objects; (with possessive) personal effects.,What is all that stuff on your bedroom floor?  He didn't want his pockets to bulge so he was walking around with all his stuff in his hands.,noun,/stʌf/,
stupid,বোকা,A stupid person; a fool.,,noun,/ˈstjuːpɪd/,
style,শৈলী,"Senses relating to a thin, pointed object.",,noun,/staɪl/,
subject,বিষয়,Likely to be affected by or to experience something.,He's subject to sneezing fits.,adjective,/ˈsʌb.dʒɪkt/,
substance,পদার্থ,Physical matter; material.,,noun,/ˈsʌbstəns/,
substantial,যথেষ্ট,Anything having substance; an essential part.,,noun,/səbˈstænʃəl/,
substantially,উল্লেখযোগ্যভাবে,In a strong substantial manner; considerably.,,adverb,,
substitute,বিকল্প,A replacement or stand-in for something that achieves a similar result or purpose.,,noun,/ˈsʌbstɪtjut/,
succeed,সফল,"To follow in order; to come next after; hence, to take the place of.",Autumn succeeds summer.,verb,/səkˈsiːd/,
success,সাফল্য,The achievement of one's aim or goal.,His third attempt to pass the entrance exam was a success.,noun,/səkˈsɛs/,
successful,সফল,"Resulting in success; assuring, or promoting, success; accomplishing what was proposed; having the desired effect",a successful use of medicine;  a successful experiment;  a successful enterprise,adjective,/səkˈsɛsfl̩/,
such,যেমন,Something being indicated that is similar to something else.,,noun,/sʌt͡ʃ/,
suck,চুষা,An instance of drawing something into one's mouth by inhaling.,,noun,/sʌk/,
sudden,হঠাৎ,An unexpected occurrence; a surprise.,,noun,/ˈsʌdən/,
suddenly,হঠাৎ,Happening quickly and with little or no warning; in a sudden manner.,"Suddenly, the heavens opened and we all got drenched.",adverb,/ˈsʌdn̩li/,
suffer,ভোগা,To undergo hardship.,Is anyone here afraid of suffering hardship?,verb,/ˈsʌfə/,
suffering,কষ্ট,To undergo hardship.,Is anyone here afraid of suffering hardship?,verb,/ˈsʌfəɹɪŋ/,
sufficient,যথেষ্ট,Equal to the end proposed; adequate to what is needed; enough,There is not sufficient access to the internet in many small rural villages.,adjective,/səˈfɪʃənt/,
sugar,চিনি,"Sucrose in the form of small crystals, obtained from sugar cane or sugar beet and used to sweeten food and drink.",,noun,/ˈʃʊɡə(ɹ)/,
suggest,পরামর্শ,To imply but stop short of saying explicitly.,Are you suggesting that I killed my wife?,verb,/səˈdʒɛst/,
suggestion,পরামর্শ,Something suggested (with subsequent adposition being for),I have a small suggestion for fixing this: try lifting the left side up a bit.,noun,/səˈd͡ʒɛstjən/,
suit,স্যুট,"A set of clothes to be worn together, now especially a man's matching jacket and trousers (also business suit or lounge suit), or a similar outfit for a woman.",Nick hired a navy-blue suit for the wedding.,noun,/s(j)uːt/,
suitable,উপযুক্ত,Having sufficient or the required properties for a certain purpose or task; appropriate to a certain occasion.,,adjective,/ˈsuːtəbl/,
sum,যোগফল,A quantity obtained by addition or aggregation.,The sum of 3 and 4 is 7.,noun,/sʌm/,
summary,সারাংশ,An abstract or a condensed presentation of the substance of a body of material.,,noun,/ˈsʌməɹi/,
summer,গ্রীষ্ম,"One of four seasons, traditionally the second, marked by the longest and typically hottest days of the year due to the inclination of the Earth and thermal lag. Typically regarded as being from June 21 to September 22 or 23 in parts of the USA, the months of June, July and August in the United Kingdom and the months of December, January and February in the Southern Hemisphere.",the heat of summer,noun,/ˈsʌmə(ɹ)/,
sun,সূর্য,"A star, especially when seen as the centre of any single solar system.",,noun,/sʌn/,
superior,উচ্চতর,A person of higher rank or quality.,,noun,/suːˈpɪəɹi.ə(ɹ)/,
supermarket,সুপারমার্কেট,"A large self-service store that sells groceries and, usually, medications, household goods and/or clothing.",I went to the supermarket to buy some food.,noun,/ˌsuːpəˈmɑːkɪt/,
supply,সরবরাহ,The act of supplying.,supply and demand,noun,/səˈplaɪ/,
support,সমর্থন,(sometimes attributive) Something which supports.,Don't move that beam! It's a support for the whole platform.,noun,/səˈpɔːt/,
supporter,সমর্থক,A person who gives support to someone or something.,,noun,,
suppose,ধরুন,"To take for granted; to conclude, with less than absolute supporting data; to believe.",Suppose that A implies B and B implies C. Then A implies C.,verb,/səˈpəʊz/,
sure,নিশ্চিত,"Physically secure and certain, non-failing, reliable.",This investment is a sure thing.   The bailiff had a sure grip on the prisoner's arm.,adjective,/ʃoː/,
surely,অবশ্যই,Without fail.,slowly but surely,adverb,/ˈʃɔːli/,
surface,পৃষ্ঠ,"The overside or up-side of a flat object such as a table, or of a liquid.",,noun,/ˈsɜːfɪs/,
surgery,অস্ত্রোপচার,"A procedure involving major incisions to remove, repair, or replace a part of a body.",Many times surgery is necessary to prevent cancer from spreading.,noun,/ˈsɜːdʒəɹi/,
surprise,আশ্চর্য,Something unexpected.,It was a surprise to find out I owed twice as much as I thought I did.,noun,/səˈpɹaɪz/,
surprised,বিস্মিত,To cause (someone) to feel unusually alarmed or delighted by something unexpected.,It surprises me that I owe twice as much as I thought I did.,verb,/səˈpɹaɪzd/,
surprising,আশ্চর্যজনক,To cause (someone) to feel unusually alarmed or delighted by something unexpected.,It surprises me that I owe twice as much as I thought I did.,verb,/səˈpɹaɪzɪŋ/,
surround,ঘিরে,"Anything, such as a fence or border, that surrounds something.",,noun,/səˈɹaʊnd/,
surrounding,পার্শ্ববর্তী,To encircle something or simultaneously extend in all directions.,,verb,/səˈɹaʊndɪŋ/,
surroundings,পারিপার্শ্বিক,An outlying area; area in proximity to something,,noun,/səˈɹaʊndɪŋz/,
survey,জরিপ,The act of surveying; a general view.,,noun,,
survive,বেঁচে থাকা,"Of a person, to continue to live; to remain alive.",,verb,/səˈvʌɪv/,
suspect,সন্দেহ,"A person who is suspected of something, in particular of committing a crime.",,noun,/ˈsʌs.pɛkt/,
suspect,সন্দেহ,"A person who is suspected of something, in particular of committing a crime.",,noun,/ˈsʌs.pɛkt/,
suspicion,সন্দেহ,"The act of suspecting something or someone, especially of something wrong.",,noun,/sə.ˈspɪ.ʃən/,
suspicious,সন্দেহজনক,Arousing suspicion.,His suspicious behaviour brought him to the attention of the police.,adjective,/səˈspɪ.ʃəs/,
swallow,গিলে ফেলা,A deep chasm or abyss in the earth.,,noun,/ˈswɒləʊ/,
swear,শপথ,"To take an oath, to promise.",,verb,/swɛə/,
sweat,ঘাম,Fluid that exits the body through pores in the skin usually due to physical stress and/or high temperature for the purpose of regulating body temperature and removing certain compounds from the circulation.,,noun,/swɛt/,
sweater,সোয়েটার,"A knitted jacket or jersey, usually of thick wool, worn by athletes before or after exercise.",,noun,/ˈswetə/,
sweep,ঝাড়ু দেওয়া,A single action of sweeping.,Give the front steps a quick sweep to get rid of those fallen leaves.,noun,/swiːp/,
sweet,মিষ্টি,The basic taste sensation induced by sugar.,,noun,/swiːt/,
swell,ফুলে যাওয়া,"To become bigger, especially due to being engorged.",,verb,/swɛl/,
swelling,ফোলা,"To become bigger, especially due to being engorged.",,verb,/ˈswɛl.ɪŋ/,
swim,সাঁতার কাটা,An act or instance of swimming.,I'm going for a swim.,noun,/swɪm/,
swimming,সাঁতার,The act or art of sustaining and propelling the body in water.,,noun,/ˈswɪmɪŋ/,
swimming pool,সুইমিং পুল,"A pool of water used for swimming, usually one which has been artificially constructed.",,noun,/ˈswɪmɪŋ ˌpuːl/,
swing,সুইং,The manner in which something is swung.,Door swing indicates direction the door opens.,noun,/ˈswɪŋ/,
switch,সুইচ,"A bundle of thin sticks, typically made of wood, sometimes bond in such a way that binding can be moved so that it varies the tightness of the binding.",,noun,/swɪtʃ/,
swollen,ফোলা,"To become bigger, especially due to being engorged.",,verb,/ˈswəʊlən/,
symbol,প্রতীক,"A character or glyph representing an idea, concept or object.",$ is the symbol for dollars in the US and some other countries.,noun,/ˈsɪmbəl/,
sympathetic,সহানুভূতিশীল,"Of, related to, showing, or characterized by sympathy",John looked very upset. I gave him a sympathetic look.,adjective,/ˌsɪmpəˈθɛtɪk/,
sympathy,সহানুভূতি,A feeling of pity or sorrow for the suffering or distress of another; compassion.,,noun,/ˈsɪmpəθi/,
system,সিস্টেম,A collection of organized things; a whole composed of relationships among its members.,There are eight planets in the solar system.,noun,,
table,টেবিল,Furniture with a top surface to accommodate a variety of uses.,,noun,,
tablet,ট্যাবলেট,A slab of clay used for inscription.,,noun,/ˈtæblət/,
tackle,মোকাবেলা,"A device for grasping an object and an attached means of moving it, as a rope and hook.",,noun,/ˈtækəl/,
tail,লেজ,The caudal appendage of an animal that is attached to its posterior and near the anus.,Most primates have a tail and fangs.,noun,/teɪl/,
take,নিতে,The or an act of taking.,,noun,/teɪk/,
tale,গল্প,"An account of an asserted fact or circumstance; a rumour; a report, especially an idle or malicious story; a piece of gossip or slander; a lie.",Don't tell tales!,noun,/ˈteɪl/,
talent,প্রতিভা,A marked natural ability or skill.,He has a real talent for drawing.,noun,/ˈtalənt/,
talk,কথা,"To communicate, usually by means of speech.",Although I don't speak Chinese I managed to talk with the villagers using signs and gestures.,verb,/toːk/,
tall,লম্বা,(possibly nonstandard) Someone or something that is tall.,,noun,/tɔːl/,
tank,ট্যাঙ্ক,A closed container for liquids or gases.,,noun,/tæŋk/,
tap,টোকা,A tapering cylindrical pin or peg used to stop the vent in a cask.,,noun,/tæp/,
tape,টেপ,Flexible material in a roll with a sticky surface on one or both sides; adhesive tape.,Hand me some tape. I need to fix a tear in this paper.,noun,/teɪ̯p/,
target,লক্ষ্য,"A butt or mark to shoot at, as for practice, or to test the accuracy of a firearm, or the force of a projectile.",Take careful aim at the target.,noun,,
task,টাস্ক,A piece of work done as part of one’s duties.,,noun,/tɑːsk/,
taste,স্বাদ,One of the sensations produced by the tongue in response to certain chemicals; the quality of giving this sensation.,He had a strange taste in his mouth.,noun,/teɪst/,
tax,ট্যাক্স,Money paid to the government other than for transaction-specific goods and services.,,noun,/tæks/,
taxi,ট্যাক্সি,"A vehicle that may be hired for single journeys by members of the public, driven by a taxi driver.",,noun,/ˈtæk.si/,
tea,চা,"A drug smoked or ingested for euphoric effect, cannabis.","After smoking a bowl of that fine marijuana, they ate some brownies.",noun,,
teach,শেখান,"To show (someone) the way; to guide, conduct; to point, indicate.","‘The bliss is there’, mumbled the old man and taught to Heaven.",verb,/tiːt͡ʃ/,
teacher,শিক্ষক,"A person who teaches, especially one employed in a school.",,noun,/ˈtiːt͡ʃə/,
teaching,শিক্ষাদান,Something taught by a religious or philosophical authority.,Many follow the teachings of Confucius.,noun,/ˈtiːtʃɪŋ/,
team,দল,"A set of draught animals, such as two horses in front of a carriage.",,noun,/tiːm/,
tear 1,টিয়ার 1,,,,,
tear 2,টিয়ার 2,,,,,
technical,প্রযুক্তিগত,A pickup truck with a gun mounted on it.,,noun,/ˈtɛk.nɪk.əl/,
technique,কৌশল,"The practical aspects of a given art, occupation etc.; formal requirements.",,noun,/tɛkˈniːk/,
technology,প্রযুক্তি,The organization of knowledge for practical purposes.,,noun,/tɛkˈnɒlədʒi/,
telephone,টেলিফোন,"A telecommunication device (originally mechanical, and now electronic) used for two-way talking with another person (now often shortened to phone).",,noun,/ˈtɛləfəʊn/,
television,টেলিভিশন,"An electronic communication medium that allows the transmission of real-time visual images, and often sound.",It’s a good thing that television doesn’t transmit smell.,noun,/ˈtɛləˌvɪʒən/,
tell,বল,"A reflexive, often habitual behavior, especially one occurring in a context that often features attempts at deception by persons under psychological stress (such as a poker game or police interrogation), that reveals information that the person exhibiting the behavior is attempting to withhold.",,noun,/tɛl/,
tell off,বন্ধ বল,"To rebuke, to reprimand, or to admonish, often in a harsh, angry, direct way.",Joel's boss told him off for being late again.,verb,,
temperature,তাপমাত্রা,"A measure of cold or heat, often measurable with a thermometer.",The temperature in the room dropped nearly 20 degrees; it went from hot to cold.,noun,/ˈtɛmp(ə)ɹətʃə(ɹ)/,
temporary,অস্থায়ী,One serving for a limited time; short-term employee.,,noun,/ˈtɛmpəɹi/,
tend,ঝোঁক,(Old English law) To make a tender of; to offer or tender.,,verb,/tɛnd/,
tendency,প্রবণতা,A likelihood of behaving in a particular way or going in a particular direction; a tending toward.,Denim has a tendency to fade.,noun,/ˈtɛndənsi/,
tension,উত্তেজনা,"The condition of being held in a state between two or more forces, which are acting in opposition to each other.",,noun,/ˈtɛnʃən/,
tent,তাঁবু,"A pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather.",We were camping in a three-man tent.,noun,/tɛnt/,
term,মেয়াদ,"That which limits the extent of anything; limit, extremity, bound, boundary.","""Alright, look...we can spend the holidays with your parents, but this time it will be on my terms.""",noun,/tɜːm/,
terrible,ভয়ানক,"Dreadful; causing terror, alarm and fear; awesome",The witch gave him a terrible curse.,adjective,/ˈtɛ.ɹə.bl̩/,
terribly,ভয়ঙ্করভাবে,So as to cause terror or awe.,The lion roared terribly.,adverb,/ˈtɛɹ.ɪ.bli/,
territory,অঞ্চল,"A large extent or tract of land; for example a region, country or district.",,noun,/ˈtɛɹɪt(ə)ɹi/,
terror,সন্ত্রাস,"Intense dread, fright, or fear.",,noun,/ˈtɛɹə/,
terrorism,সন্ত্রাসবাদ,The deliberate commission of an act of violence to create public fear through the suffering of the victims in the furtherance of a political or social agenda.,,noun,/ˈtɛɹəɹɪzəm/,
terrorist,সন্ত্রাসী,"A person, group, or organization that uses violent action, or the threat of violent action, to further political goals.",,noun,/ˈtɛɹəɹɪst/,
test,পরীক্ষা,"A challenge, trial.",,noun,/test/,
text,পাঠ্য,"A writing consisting of multiple glyphs, characters, symbols or sentences.",,noun,/tɛkst/,
than,চেয়ে,At that time; then.,,adverb,,
thank,ধন্যবাদ,An expression of appreciation; a thought.,,noun,[θaŋk],
thank you,ধন্যবাদ,An expression of gratitude or politeness in response to something done or given.,“Thank you!” said the girl after her mom gave her a gift.,interjection,,
thanks,ধন্যবাদ,An expression of appreciation; a thought.,,noun,/θæŋks/,
that,যে,Something being indicated that is there; one of those.,,noun,/ˈðæt/,
the,দ,"With a comparative or with more and a verb phrase, establishes a correlation with one or more other such comparatives.","It looks weaker and weaker, the more I think about it.",adverb,/ði/,
theater,থিয়েটার,"A place or building, consisting of a stage and seating, in which an audience gathers to watch plays, musical performances, public ceremonies, and so on.",,noun,/ˈθi(ə)tɚ/,
their,তাদের,,,,,
theirs,তাদের,"That which belongs to them; the possessive case of they, used without a following noun.",,pronoun,/ðɛəz/,
them,তাদের,(plural) Those ones.,,pronoun,,
theme,থিম,A subject of a talk or an artistic piece; a topic.,,noun,/θiːm/,
themselves,নিজেদের,"The reflexive case of they, the third-person plural personal pronoun. The group of people, animals or objects previously mentioned, as the object of a verb or following a preposition (also used for emphasis).",They are going to try climbing Mount Everest themselves.,pronoun,/ðəmˈsɛlvz/,
then,তারপর,"Used in comparisons, to introduce the basis of comparison.",she's taller than I am;  she found his advice more witty than helpful;  we have less work today than we had yesterday;  We had no choice than to return home,conjunction,/ðen/,
theory,তত্ত্ব,A description of an event or system that is considered to be accurate.,,noun,/ˈθiːəɹi/,
there,সেখানে,That place.,,noun,/ðeː(ɹ)/,
therefore,তাই,"For that or this purpose, referring to something previously stated.",,adverb,/ˈðɛəfɔː/,
they,তারা,"(the third-person plural) A group of people, animals, plants or objects previously mentioned.",Dogs may bark if they want to be fed.,pronoun,/ðeɪ/,
thick,পুরু,"The thickest, or most active or intense, part of something.",It was mayhem in the thick of battle.,noun,/θɪk/,
thickly,ঘন,In a thick manner.,,adverb,/ˈθɪkli/,
thickness,বেধ,The property of being thick (in dimension).,,noun,/ˈθɪknəs/,
thief,চোর,One who carries out a theft.,,noun,/θiːf/,
thin,পাতলা,"A loss or tearing of paper from the back of a stamp, although not sufficient to create a complete hole.",,noun,/ˈθɪn/,
thing,জিনিস,"That which is considered to exist as a separate entity, object, quality or concept.",,noun,/θɪŋ/,
think,মনে,An act of thinking; consideration (of something).,I'll have a think about that and let you know.,noun,/θɪŋk/,
thinking,চিন্তা,Thought; gerund of think.,What is your thinking on this subject?,noun,/ˈθɪŋkɪŋ/,
thirsty,তৃষ্ণার্ত,Needing to drink.,After all that work I am really thirsty.,adjective,/ˈθɜː(ɹ)st.i/,
this,এই,Something being indicated that is here; one of these.,,noun,/ðəs/,
thorough,পুঙ্খানুপুঙ্খভাবে,"A furrow between two ridges, to drain off the surface water.",,noun,/ˈθʌɹə/,
thoroughly,পুঙ্খানুপুঙ্খভাবে,In a thorough or complete manner.,He went out in the rain and came back thoroughly drenched.,adverb,/θʌ.ɹə.liː/,
though,যদিও,Despite that; however.,"I will do it, though.",adverb,/ðəʊ/,
thought,চিন্তা,"To ponder, to go over in one's head.","Idly, the detective thought what his next move should be.",verb,/θɔːt/,
thread,থ্রেড,"A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.",,noun,[θɾ̪̊ɛd],
threat,হুমকি,An expression of intent to injure or punish another.,,noun,/θɹɛt/,
threaten,হুমকি,To make a threat against someone; to use threats.,He threatened me with a knife.,verb,/ˈθɹɛt.n̩/,
threatening,হুমকি,To make a threat against someone; to use threats.,He threatened me with a knife.,verb,/ˈθɹɛt.n̩.ɪŋ/,
throat,গলা,The front part of the neck.,The wild pitch bounced and hit the catcher in the throat.,noun,/ˈθɹəʊt/,
through,মাধ্যমে,A large slab of stone laid in a dry-stone wall from one side to the other; a perpend.,,noun,/θɹuː/,
throughout,সর্বত্র,"Completely through, right the way through.",,adverb,/θɹuˈʌʊt/,
throw,নিক্ষেপ,To change place.,,verb,,
thumb,থাম্ব,The short thick digit of the hand that for humans has the most mobility and can be made to oppose (moved to touch) all of the other fingers.,,noun,/θʌm/,
thus,এইভাবে,(manner) In this way or manner.,"If you throw the ball thus, as I’m showing you, you’ll have better luck hitting the target.",adverb,/ˈðʌs/,
ticket,টিকিট,"A pass entitling the holder to admission to a show, concert, etc.",,noun,/ˈtɪkɪt/,
tie,টাই,A knot; a fastening.,,noun,/taɪ/,
tight,টাইট,,,,,
tightly,শক্তভাবে,In a tight manner.,tightly clenched fingers,adverb,/ˈtaɪtli/,
till,পর্যন্ত,"Until; to, up to; as late as (a given time).",I have to work till eight o'clock tonight.,preposition,/tɪl/,
time,সময়,The inevitable progression into the future with the passing of present and past events.,Time stops for nobody.   the ebb and flow of time,noun,/tɑem/,
timetable,সময়সূচী,"A tabular schedule of events with the times at which they occur, especially times of arrivals and departures",The timetable has been changed several times since it was first announced.,noun,/ˈtaɪmˌteɪbəl/,
tin,টিন,"A malleable, ductile, metallic element, resistant to corrosion, with atomic number 50 and symbol Sn.",,noun,/tɪn/,
tiny,ক্ষুদ্র,A small child; an infant.,,noun,/ˈtaɪni/,
tip,টিপ,The tip of the external ear.,,noun,,
tire,টায়ার,To become sleepy or weary.,,verb,/ˈtʌɪ̯ɚ/,
tired,ক্লান্ত,To become sleepy or weary.,,verb,/taɪəd/,
tiring,ক্লান্তিকর,To become sleepy or weary.,,verb,,
title,শিরোনাম,"A prefix (honorific) or suffix (post-nominal) added to a person's name to signify either veneration, official position or a professional or academic qualification. See also",,noun,/ˈtaɪtl̩/,
to,থেকে,"Toward a closed, touching or engaging position.",Please push the door to.,adverb,/tʉː/,
today,আজ,A current day or date.,Today is the day we'll fix this once and for all.,noun,/təˈdeɪ/,
toe,পায়ের আঙ্গুল,Each of the five digits on the end of the foot.,,noun,,
together,একসাথে,Coherent; well organized.,He's really together.,adjective,/təˈɡɛð.ə(ɹ)/,
